2015-11-01  327384
2015-10-01  326351
2015-09-01  325478
2015-08-01  324789
2015-07-01  324089
2015-06-01  323185
2015-05-01  322040
2015-04-01  320915
2015-03-01  319494
2015-02-01  317993
2015-01-01  316088
2014-12-01  314541
2014-11-01  313124
2014-10-01  311948
2014-09-01  310910
2014-08-01  310143
2014-07-01  309513
2014-06-01  308693
2014-05-01  307766
2014-04-01  306554
2014-03-01  304666
2014-02-01  302596
2014-01-01  300462
2013-12-01  299149
2013-11-01  297291
2013-10-01  295931
2013-09-01  294883
2013-08-01  294183
2013-07-01  293486
2013-06-01  292481
2013-05-01  291465
2013-04-01  290043
2013-03-01  288000
2013-02-01  285733
2013-01-01  283669
2012-12-01  281995
2012-11-01  280539
2012-10-01  279181
2012-09-01  278106
2012-08-01  277420
2012-07-01  276709
2012-06-01  275812
2012-05-01  274946
2012-04-01  273791
2012-03-01  272480
2012-02-01  270632
2012-01-01  268852
2011-12-01  267529
2011-11-01  265962
2011-10-01  264591
2011-09-01  263585
2011-08-01  262909
2011-07-01  262284
2011-06-01  261564
2011-05-01  260779
2011-04-01  259797
2011-03-01  257943
2011-02-01  255982
2011-01-01  254047
2010-12-01  251734
2010-11-01  249983
2010-10-01  248595
2010-09-01  247543
2010-08-01  246682
2010-07-01  246123
2010-06-01  245281
2010-05-01  244132
2010-04-01  242742
2010-03-01  240984
2010-02-01  239078
2010-01-01  236527
2009-12-01  234875
2009-11-01  233319
2009-10-01  231711
2009-09-01  230819
2009-08-01  229995
2009-07-01  229068
2009-06-01  228029
2009-05-01  226826
2009-04-01  225388
2009-03-01  223161
2009-02-01  220664
2009-01-01  217466
2008-12-01  215185
2008-11-01  213085
2008-10-01  211498
2008-09-01  210427
2008-08-01  209265
2008-07-01  208425
2008-06-01  207795
2008-05-01  206804
2008-04-01  205246
2008-03-01  202938
2008-02-01  200487
2008-01-01  197974
2007-12-01  195715
2007-11-01  193757
2007-10-01  192050
2007-09-01  190742
2007-08-01  189627
2007-07-01  188716
2007-06-01  187489
2007-05-01  186286
2007-04-01  184874
2007-03-01  182776
2007-02-01  179764
2007-01-01  177118
2006-12-01  175391
2006-11-01  173512
2006-10-01  172266
2006-09-01  171258
2006-08-01  170184
2006-07-01  169293
2006-06-01  168326
2006-05-01  166869
2006-04-01  164671
2006-03-01  161308
2006-02-01  158474
2006-01-01  155077
2005-12-01  152338
2005-11-01  150047
2005-10-01  148630
2005-09-01  147341
2005-08-01  146094
2005-07-01  144875
2005-06-01  143541
2005-05-01  142050
2005-04-01  140199
2005-03-01  137092
2005-02-01  134149
2005-01-01  131693
2004-12-01  129564
2004-11-01  127262
2004-10-01  125690
2004-09-01  124516
2004-08-01  123379
2004-07-01  122607
2004-06-01  121384
2004-05-01  120133
2004-04-01  118587
2004-03-01  116280
2004-02-01  113872
2004-01-01  110880
2003-12-01  109017
2003-11-01  107297
2003-10-01  104832
2003-09-01  103789
2003-08-01  103042
2003-07-01  102193
2003-06-01  101383
2003-05-01  100326
2003-04-01  98161
2003-03-01  95420
2003-02-01  92100
2003-01-01  88736
